[description:"left inner thumb to shift tab" entry:"1655579736" modified:"1655579736" project:"hobby.keyboard" status:"pending" uuid:"d1c366d9-6570-4bb9-9aef-db77790c3205"]
[description:"right inner thumb to enter" entry:"1655579748" modified:"1655579748" project:"hobby.keyboard" status:"pending" uuid:"0a27c149-d519-44f1-910b-15f5279fd77a"]
[description:"change tab combos to ctrl+tab combos" entry:"1655579800" modified:"1655579800" project:"hobby.keyboard" status:"pending" uuid:"630b4ce5-a2a0-478b-aea3-9e916809484c"]
